date, pm25, pm10
2020/12/1, 90, 18
2020/12/2, 107, 30
2020/11/11, 180, 62
2020/11/20, 75, 47
2020/11/21, 104, 52
2020/11/22, 118, 
2020/11/23, 119, 45
2020/11/24, 77, 37
2020/11/26, 125, 44
2020/11/27, 102, 35
2020/11/28, 118, 47
2020/11/29, 90, 29
2020/11/30, 101, 18
2020/10/10, 110, 53
2020/10/11, 109, 51
2020/10/12, 113, 64
2020/10/13, 123, 61
2020/10/14, 129, 63
2020/10/15, 98, 62
2020/10/16, 98, 55
2020/10/17, 98, 47
2020/10/18, 98, 50
2020/10/19, 98, 54
2020/10/20, 98, 52
2020/9/1, 135, 55
2020/9/2, 120, 61
2020/9/3, 109, 45
2020/9/4, 146, 47
2020/9/5, 106, 58
2020/9/6, 119, 57
2020/9/7, 77, 
2020/9/8, 100, 
2020/9/9, 66, 
2020/9/10, 119, 
2020/9/11, 141, 57
2020/9/12, 117, 56
2020/9/13, 125, 62
2020/9/14, 128, 57
2020/8/7, 64, 57
2020/8/10, 33, 57
2020/8/11, 126, 60
2020/8/12, 134, 57
2020/8/13, 68, 33
2020/8/14, 103, 35
2020/8/15, 140, 62
2020/8/16, 115, 26
2020/8/17, 125, 41
2020/8/18, 96, 50
2020/8/19, 136, 61
2020/8/20, 105, 45
2020/8/21, 99, 42
2020/8/22, 140, 58
2020/8/23, 143, 63
2020/8/24, 104, 57
2020/8/25, 108, 53
2020/8/26, 108, 55
2020/8/27, 107, 53
2020/8/28, 142, 56
2020/8/29, 111, 56
2020/8/30, 112, 57
2020/8/31, 116, 63
2020/6/1, 136, 32
2020/4/1, 70, 20
2020/4/2, 222, 21
2020/4/3, 58, 39
2020/4/4, 89, 41
2020/4/5, 94, 26
2020/4/6, 81, 17
2020/4/7, 62, 15
2020/4/8, 68, 29
2020/4/9, 64, 43
2020/4/10, 104, 36
2020/4/11, 110, 49
2020/4/12, 120, 34
2020/4/13, 45, 33
2020/4/14, 103, 29
2020/4/15, 69, 26
2020/4/16, 101, 32
2020/4/17, 172, 42
2020/4/19, 172, 44
2020/4/20, 151, 52
2020/4/22, 1, 44
2020/4/23, 150, 52
2020/4/24, 102, 43
2020/4/26, 175, 32
2020/3/1, 85, 23
2020/3/2, 93, 33
2020/3/3, 56, 37
2020/3/4, 93, 23
2020/3/5, 65, 33
2020/3/6, 92, 17
2020/3/7, 28, 
2020/3/9, 126, 24
2020/3/12, 74, 22
2020/3/13, 89, 53
2020/3/14, 139, 39
2020/3/15, 128, 31
2020/3/16, 112, 33
2020/3/17, 108, 31
2020/3/18, 60, 44
2020/3/19, 112, 40
2020/3/20, 86, 34
2020/3/21, 99, 15
2020/3/22, 56, 43
2020/3/23, 100, 40
2020/3/24, 126, 19
2020/3/25, 76, 29
2020/3/26, 96, 31
2020/3/27, 91, 44
2020/3/28, 135, 40
2020/3/29, 106, 42
2020/3/30, 102, 40
2020/3/31, 107, 18
2020/2/1, 81, 23
2020/2/2, 100, 27
2020/2/3, 79, 16
2020/2/4, 41, 37
2020/2/6, 55, 31
2020/2/7, 87, 19
2020/2/8, 87, 22
2020/2/9, 63, 28
2020/2/10, 100, 48
2020/2/11, 113, 46
2020/2/12, 101, 31
2020/2/13, 84, 37
2020/2/14, 92, 55
2020/2/15, 126, 34
2020/2/16, 106, 26
2020/2/17, 76, 24
2020/2/18, 76, 24
2020/2/19, 73, 19
2020/2/20, 76, 23
2020/2/21, 90, 21
2020/2/22, 90, 16
2020/2/23, 82, 17
2020/2/24, 58, 17
2020/2/25, 77, 32
2020/2/26, 65, 
2020/2/27, 90, 
2020/2/28, 79, 
2020/2/29, 131, 
2020/1/10, 64, 15
2020/1/11, 79, 30
2020/1/12, 63, 20
2020/1/16, 93, 37
2020/1/17, 125, 48
2020/1/18, 94, 26
2020/1/19, 128, 43
2020/1/20, 96, 44
2020/1/21, 62, 17
2020/1/22, 106, 30
2020/1/23, 75, 16
2020/1/24, 91, 33
2020/1/25, 70, 17
2020/1/26, 122, 39
2020/1/27, 71, 21
2020/1/28, 126, 44
2020/1/29, 104, 34
2020/1/30, 55, 16
2020/1/31, 80, 30
2019/10/1, 118, 73
2019/10/2, 148, 
2019/10/3, 134, 62
2019/10/4, 125, 53
2019/10/7, 124, 78
2019/10/8, 150, 
2019/12/5, 114, 
2019/12/6, 100, 
2019/12/7, 69, 
2019/12/8, 101, 
2019/12/9, 125, 
2019/12/10, 97, 
2019/12/11, 145, 
2019/12/12, 110, 
2019/12/13, 132, 
2019/12/14, 105, 
2019/12/15, 102, 
2019/12/16, 153, 
2019/12/17, 98, 
2019/12/20, 14, 51
2019/12/23, 31, 60
2019/12/24, 131, 23
2019/12/25, 91, 40
2019/12/26, 132, 40
2019/7/1, 120, 73
2019/7/2, 132, 68
2019/7/3, 119, 61
2019/7/4, 107, 65
2019/7/5, 118, 56
2019/7/6, 115, 57
2019/7/7, 112, 63
2019/7/8, 119, 67
2019/7/9, 114, 59
2019/7/10, 98, 66
2019/7/11, 130, 64
2019/7/12, 128, 64
2019/7/13, 103, 66
2019/7/14, 122, 62
2019/7/15, 90, 70
2019/7/19, 113, 
2019/7/20, 129, 56
2019/7/21, 110, 66
2019/7/22, 112, 63
2019/7/23, 134, 60
2019/7/24, 116, 71
2019/7/25, 127, 69
2019/7/26, 128, 55
2019/7/27, 127, 69
2019/7/28, 157, 64
2019/7/29, 139, 54
2019/8/7, 97, 62
2019/8/8, 133, 59
2019/8/9, 140, 66
2019/8/10, 120, 60
2019/8/11, 121, 61
2019/8/12, 122, 59
2019/8/13, 124, 56
2019/8/14, 111, 64
2019/8/15, 114, 70
2019/8/16, 147, 63
2019/8/17, 173, 56
2019/8/19, 92, 62
2019/8/20, 121, 58
2019/8/21, 129, 60
2019/8/22, 117, 69
2019/8/23, 119, 63
2019/8/24, 120, 61
2019/8/25, 110, 61
2019/8/26, 110, 60
2019/8/27, 117, 55
2019/8/28, 113, 68
2019/8/29, 135, 62
2019/8/30, 103, 64
2019/9/1, 127, 67
2019/9/2, 125, 60
2019/9/3, 117, 64
2019/9/4, 121, 59
2019/9/5, 121, 60
2019/9/6, 114, 60
2019/9/7, 124, 61
2019/9/8, 122, 59
2019/9/9, 119, 54
2019/9/10, 123, 69
2019/9/11, 127, 65
2019/9/12, 106, 72
2019/9/13, 116, 
2019/9/16, 119, 62
2019/9/17, 119, 58
2019/9/18, 113, 57
2019/9/19, 117, 61
2019/9/20, 113, 
2019/9/22, 158, 66
2019/9/23, 131, 62
2019/9/24, 60, 65
2019/9/25, 2, 62
2019/9/26, 111, 62
2019/9/27, 101, 53
2019/9/28, 34, 59
2019/9/29, 142, 58
2019/9/30, 131, 60
2020/11/1, , 39
2020/11/2, , 25
2020/11/3, , 47
2020/11/4, , 50
2020/11/5, , 57
2020/11/6, , 68
2020/11/7, , 59
2020/11/8, , 61
2020/11/9, , 62
2020/11/10, , 64
2020/11/12, , 52
2020/11/13, , 46
2020/11/14, , 52
2020/11/15, , 48
2020/11/16, , 57
2020/11/17, , 57
2020/11/18, , 60
2020/11/19, , 65
2020/11/25, , 41
2020/10/1, , 57
2020/10/2, , 53
2020/10/3, , 57
2020/10/4, , 57
2020/10/5, , 39
2020/10/6, , 45
2020/10/7, , 51
2020/10/8, , 53
2020/10/9, , 45
2020/10/21, , 55
2020/10/22, , 35
2020/10/23, , 27
2020/10/24, , 44
2020/10/25, , 41
2020/10/26, , 41
2020/10/27, , 41
2020/10/28, , 50
2020/10/29, , 50
2020/10/30, , 47
2020/10/31, , 38
2020/9/15, , 56
2020/9/16, , 61
2020/9/17, , 57
2020/9/18, , 64
2020/9/19, , 38
2020/9/20, , 43
2020/9/21, , 40
2020/9/22, , 52
2020/9/23, , 53
2020/9/24, , 62
2020/9/25, , 74
2020/9/26, , 56
2020/9/27, , 52
2020/9/28, , 54
2020/9/29, , 53
2020/9/30, , 57
2020/8/1, , 59
2020/8/2, , 66
2020/8/3, , 69
2020/8/4, , 69
2020/8/5, , 60
2020/8/6, , 64
2020/8/8, , 53
2020/8/9, , 46
2020/7/1, , 50
2020/7/2, , 57
2020/7/3, , 62
2020/7/4, , 59
2020/7/5, , 59
2020/7/6, , 56
2020/7/7, , 46
2020/7/8, , 57
2020/7/9, , 51
2020/7/10, , 62
2020/7/11, , 56
2020/7/12, , 57
2020/7/13, , 60
2020/7/14, , 62
2020/7/15, , 43
2020/7/16, , 45
2020/7/17, , 54
2020/7/18, , 55
2020/7/19, , 63
2020/7/20, , 61
2020/7/21, , 53
2020/7/22, , 55
2020/7/23, , 55
2020/7/24, , 56
2020/7/25, , 62
2020/7/27, , 61
2020/7/28, , 67
2020/7/29, , 70
2020/7/30, , 56
2020/7/31, , 42
2020/5/31, , 33
2020/6/2, , 36
2020/6/3, , 46
2020/6/4, , 59
2020/6/5, , 60
2020/6/7, , 52
2020/6/8, , 49
2020/6/9, , 63
2020/6/10, , 54
2020/6/11, , 43
2020/6/12, , 52
2020/6/13, , 55
2020/6/14, , 63
2020/6/15, , 56
2020/6/16, , 57
2020/6/17, , 55
2020/6/18, , 51
2020/6/19, , 58
2020/6/20, , 56
2020/6/21, , 60
2020/6/22, , 48
2020/6/23, , 49
2020/6/24, , 68
2020/6/25, , 68
2020/6/26, , 64
2020/6/27, , 65
2020/6/28, , 68
2020/6/29, , 73
2020/6/30, , 72
2020/5/1, , 38
2020/5/2, , 41
2020/5/3, , 41
2020/5/4, , 41
2020/5/5, , 36
2020/5/6, , 37
2020/5/7, , 47
2020/5/8, , 55
2020/5/9, , 44
2020/5/10, , 40
2020/5/11, , 37
2020/5/12, , 40
2020/5/13, , 46
2020/5/14, , 53
2020/5/15, , 51
2020/5/16, , 47
2020/5/17, , 55
2020/5/18, , 36
2020/5/19, , 31
2020/5/20, , 31
2020/5/21, , 25
2020/5/22, , 42
2020/5/23, , 30
2020/5/24, , 39
2020/5/27, , 32
2020/5/28, , 30
2020/5/29, , 46
2020/5/30, , 41
2020/4/18, , 51
2020/4/21, , 50
2020/4/25, , 41
2020/4/27, , 40
2020/4/28, , 44
2020/4/29, , 51
2020/4/30, , 46
2020/3/8, , 19
2020/3/10, , 24
2020/3/11, , 31
2020/2/5, , 43
2020/1/1, , 14
2020/1/2, , 21
2020/1/3, , 30
2020/1/4, , 27
2020/1/5, , 26
2020/1/6, , 35
2020/1/7, , 29
2020/1/8, , 40
2020/1/9, , 27
2019/10/5, , 51
2019/10/6, , 56
2019/10/21, , 64
2019/10/22, , 59
2019/10/23, , 64
2019/10/24, , 60
2019/10/25, , 70
2019/10/26, , 64
2019/10/27, , 51
2019/10/28, , 58
2019/10/29, , 62
2019/10/30, , 53
2019/10/31, , 45
2019/11/1, , 42
2019/11/2, , 39
2019/11/3, , 39
2019/11/4, , 53
2019/11/5, , 55
2019/11/6, , 60
2019/11/7, , 70
2019/11/8, , 53
2019/11/9, , 67
2019/11/10, , 55
2019/11/11, , 64
2019/11/12, , 66
2019/11/13, , 59
2019/11/14, , 60
2019/11/15, , 53
2019/11/16, , 55
2019/11/17, , 58
2019/11/18, , 43
2019/11/19, , 50
2019/11/20, , 54
2019/11/21, , 54
2019/11/22, , 65
2019/11/23, , 60
2019/11/24, , 68
2019/11/25, , 54
2019/11/26, , 52
2019/11/27, , 51
2019/11/28, , 48
2019/11/29, , 34
2019/11/30, , 48
2019/12/1, , 46
2019/12/2, , 54
2019/12/18, , 27
2019/12/21, , 46
2019/12/22, , 47
2019/12/27, , 30
2019/12/28, , 35
2019/6/30, , 61
2019/7/16, , 66
2019/7/17, , 64
2019/7/18, , 58
2019/7/30, , 62
2019/7/31, , 57
2019/8/1, , 65
2019/8/2, , 74
2019/8/3, , 59
2019/8/4, , 53
2019/8/5, , 54
2019/8/6, , 60
2019/8/18, , 68
2019/8/31, , 61
2019/9/15, , 56
2019/9/21, , 66